Host                 || Total Friend

--------------------------------------------------------

 p0                   || 33        

 p1                   || 24        

 p2                   || 30        

 p3                   || 18        

 p4                   || 26        

 p5                   || 22        

 p6                   || 14        

 p7                   || 21        

 p8                   || 24        

 p9                   || 27        

 p10                  || 25        

 p11                  || 27        

 p12                  || 19        

 p13                  || 25        

 p14                  || 22        

 p15                  || 23        

 p16                  || 29        

 p17                  || 28        

 p18                  || 23        

 p19                  || 24        

 p20                  || 32        

 p21                  || 24        

 p22                  || 23        

 p23                  || 24        

 p24                  || 21        

 p25                  || 24        

 p26                  || 28        

 p27                  || 17        

 p28                  || 33        

 p29                  || 30        

 p30                  || 27        

 p31                  || 26        

 p32                  || 19        

 p33                  || 24        

 p34                  || 32        

 p35                  || 27        

 p36                  || 27        

 p37                  || 16        

 p38                  || 15        

 p39                  || 25        

 c40                  || 48        

 c41                  || 37        

 c42                  || 44        

 c43                  || 48        

 c44                  || 50        

 c45                  || 50        

 c46                  || 51        

 c47                  || 52        

 c48                  || 53        

 c49                  || 49        

 c50                  || 53        

 c51                  || 41        

 c52                  || 51        

 c53                  || 44        

 c54                  || 52        

 c55                  || 48        

 c56                  || 54        

 c57                  || 56        

 c58                  || 42        

 c59                  || 39        

 c60                  || 50        

 c61                  || 48        

 c62                  || 47        

 c63                  || 43        

 c64                  || 47        

 c65                  || 38        

 c66                  || 59        

 c67                  || 50        

 c68                  || 44        

 c69                  || 59        

 c70                  || 55        

 c71                  || 49        

 c72                  || 48        

 c73                  || 49        

 c74                  || 51        

 c75                  || 50        

 c76                  || 61        

 c77                  || 50        

 c78                  || 53        

 c79                  || 54        

 w80                  || 26        

 w81                  || 19        

 w82                  || 31        

 w83                  || 25        

 w84                  || 17        

 w85                  || 24        

 w86                  || 18        

 w87                  || 22        

 w88                  || 23        

 w89                  || 25        

 w90                  || 21        

 w91                  || 27        

 w92                  || 18        

 w93                  || 20        

 w94                  || 26        

 w95                  || 25        

 w96                  || 22        

 w97                  || 24        

 w98                  || 12        

 w99                  || 26        

 w100                 || 23        

 w101                 || 29        

 w102                 || 24        

 w103                 || 21        

 w104                 || 18        

 w105                 || 26        

 w106                 || 28        

 w107                 || 20        

 w108                 || 21        

 w109                 || 25        

 w110                 || 28        

 w111                 || 21        

 w112                 || 17        

 w113                 || 28        

 w114                 || 31        

 w115                 || 20        

 w116                 || 26        

 w117                 || 27        

 w118                 || 19        

 w119                 || 25        

 t120                 || 67        

 t121                 || 65        

 t122                 || 52        

 t123                 || 51        

 t124                 || 58        

 t125                 || 50        

